"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=1 Win=260 Len=0 TSval=308456716 TSecr=1026079521"
"2","0.005655","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=83 Len=2896 TSval=1026079541 TSecr=308456704"
"3","0.007711","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=2897 Ack=1 Win=83 Len=2896 TSval=1026079541 TSecr=308456704"
"4","0.009543","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=5793 Ack=1 Win=83 Len=2896 TSval=1026079541 TSecr=308456706"
"5","0.011507","10.0.0.1","10.0.0.2","TCP","78","5001  >  38970 [ACK] Seq=1 Ack=4294958609 Win=82 Len=0 TSval=308456727 TSecr=1026079518 SLE=4294964401 SRE=2897"
"6","0.013460","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 5#1] 5001  >  38970 [ACK] Seq=1 Ack=4294958609 Win=82 Len=0 TSval=308456729 TSecr=1026079518 SLE=4294964401 SRE=5793"
"7","0.013452","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=8689 Ack=1 Win=83 Len=2896 TSval=1026079541 TSecr=308456706"
"8","0.015397","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 5#2] 5001  >  38970 [ACK] Seq=1 Ack=4294958609 Win=82 Len=0 TSval=308456730 TSecr=1026079518 SLE=4294964401 SRE=8689"
"9","0.015401","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=11585 Ack=1 Win=83 Len=2896 TSval=1026079549 TSecr=308456713"
"10","0.018310","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=1 Ack=1 Win=83 Len=1448 TSval=1026079551 TSecr=308456715"
"11","0.020271","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 5#3] 5001  >  38970 [ACK] Seq=1 Ack=4294958609 Win=82 Len=0 TSval=308456734 TSecr=1026079518 SLE=4294964401 SRE=11585"
"12","0.020278","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=1449 Ack=1 Win=83 Len=1448 TSval=1026079552 TSecr=308456716"
"13","0.020279","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=2897 Ack=1 Win=83 Len=1448 TSval=1026079552 TSecr=308456716"
"14","0.028155","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 5#4] 5001  >  38970 [ACK] Seq=1 Ack=4294958609 Win=82 Len=0 TSval=308456736 TSecr=1026079518 SLE=4294964401 SRE=14481"
"15","0.028173","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=1449 Win=260 Len=0 TSval=308456739 TSecr=1026079551"
"16","0.028175","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=2897 Win=260 Len=0 TSval=308456741 TSecr=1026079552"
"17","0.028176","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=4345 Win=258 Len=0 TSval=308456741 TSecr=1026079552"
"18","0.033744","10.0.0.2","10.0.0.1","TCP","1514","[TCP Fast Retransmission] 38970  >  5001 [ACK] Seq=4294958609 Ack=1 Win=83 Len=1448 TSval=1026079564 TSecr=308456727"
"19","0.041522","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38970  >  5001 [ACK] Seq=4294961505 Ack=1 Win=83 Len=1448 TSval=1026079566 TSecr=308456729"
"20","0.041545","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38970  >  5001 [ACK] Seq=4294962953 Ack=1 Win=83 Len=1448 TSval=1026079574 TSecr=308456730"
"21","0.048034","10.0.0.1","10.0.0.2","TCP","86","5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456763 TSecr=1026079564 SLE=4294961505 SRE=4294962953 SLE=4294964401 SRE=14481"
"22","0.048042","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 21#1] 5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456763 TSecr=1026079564 SLE=4294961505 SRE=14481"
"23","0.048027","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=14481 Ack=1 Win=83 Len=1448 TSval=1026079574 TSecr=308456730"
"24","0.048030","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=15929 Ack=1 Win=83 Len=2896 TSval=1026079574 TSecr=308456734"
"25","0.056380","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 21#2] 5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456769 TSecr=1026079564 SLE=4294961505 SRE=15929"
"26","0.056411","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 21#3] 5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456769 TSecr=1026079564 SLE=4294961505 SRE=18825"
"27","0.056378","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=18825 Ack=1 Win=83 Len=2896 TSval=1026079580 TSecr=308456736"
"28","0.064246","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 21#4] 5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456777 TSecr=1026079564 SLE=4294961505 SRE=21721"
"29","0.064242","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=4345 Ack=1 Win=83 Len=1448 TSval=1026079580 TSecr=308456739"
"30","0.064244","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=5793 Ack=1 Win=83 Len=1448 TSval=1026079580 TSecr=308456741"
"31","0.072838","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=7241 Win=258 Len=0 TSval=308456785 TSecr=1026079580"
"32","0.072825","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=7241 Ack=1 Win=83 Len=1448 TSval=1026079580 TSecr=308456741"
"33","0.072868","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=21721 Ack=1 Win=83 Len=2896 TSval=1026079602 TSecr=308456763"
"34","0.080906","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=8689 Win=260 Len=0 TSval=308456794 TSecr=1026079580"
"35","0.081084","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 21#5] 5001  >  38970 [ACK] Seq=1 Ack=4294960057 Win=80 Len=0 TSval=308456794 TSecr=1026079564 SLE=4294961505 SRE=24617"
"36","0.080904","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38970  >  5001 [ACK] Seq=4294960057 Ack=1 Win=83 Len=1448 TSval=1026079610 TSecr=308456769"
"37","0.081081","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=24617 Ack=1 Win=83 Len=1448 TSval=1026079610 TSecr=308456769"
"38","0.087800","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=24617 Win=52 Len=0 TSval=308456802 TSecr=1026079610"
"39","0.087767","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=26065 Ack=1 Win=83 Len=2896 TSval=1026079619 TSecr=308456777"
"40","0.090669","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=28961 Ack=1 Win=83 Len=2896 TSval=1026079619 TSecr=308456777"
"41","0.101686","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=28961 Win=82 Len=0 TSval=308456809 TSecr=1026079610"
"42","0.101754","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=31857 Win=82 Len=0 TSval=308456812 TSecr=1026079619"
"43","0.101682","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=8689 Ack=1 Win=83 Len=1448 TSval=1026079627 TSecr=308456785"
"44","0.101752","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=10137 Ack=1 Win=83 Len=1448 TSval=1026079627 TSecr=308456785"
"45","0.108002","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=10137 Win=260 Len=0 TSval=308456823 TSecr=1026079627"
"46","0.108011","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=11585 Win=258 Len=0 TSval=308456823 TSecr=1026079627"
"47","0.107997","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=11585 Ack=1 Win=83 Len=1448 TSval=1026079634 TSecr=308456794"
"48","0.116047","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=13033 Win=260 Len=0 TSval=308456829 TSecr=1026079634"
"49","0.116059","10.0.0.2","10.0.0.1","TCP","2962","[TCP Previous segment not captured] 38970  >  5001 [PSH, ACK] Seq=34753 Ack=1 Win=83 Len=2896 TSval=1026079648 TSecr=308456802"
"50","0.129514","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 42#1] 5001  >  38970 [ACK] Seq=1 Ack=31857 Win=82 Len=0 TSval=308456837 TSecr=1026079619 SLE=34753 SRE=37649"
"51","0.138163","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=13033 Ack=1 Win=83 Len=1448 TSval=1026079662 TSecr=308456823"
"52","0.138167","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=14481 Ack=1 Win=83 Len=1448 TSval=1026079662 TSecr=308456823"
"53","0.144700","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=15929 Win=258 Len=0 TSval=308456859 TSecr=1026079662"
"54","0.150675","10.0.0.2","10.0.0.1","TCP","2962","[TCP Previous segment not captured] 38970  >  5001 [PSH, ACK] Seq=43441 Ack=1 Win=83 Len=2896 TSval=1026079684 TSecr=308456837"
"55","0.160570","10.0.0.1","10.0.0.2","TCP","86","[TCP Dup ACK 42#2] 5001  >  38970 [ACK] Seq=1 Ack=31857 Win=82 Len=0 TSval=308456872 TSecr=1026079619 SLE=43441 SRE=46337 SLE=34753 SRE=37649"
"56","0.166785","10.0.0.2","10.0.0.1","TCP","2962","[TCP Previous segment not captured] 38968  >  5001 [PSH, ACK] Seq=17377 Ack=1 Win=83 Len=2896 TSval=1026079697 TSecr=308456859"
"57","0.173598","10.0.0.1","10.0.0.2","TCP","78","[TCP Window Update] 5001  >  38968 [ACK] Seq=1 Ack=15929 Win=259 Len=0 TSval=308456888 TSecr=1026079662 SLE=17377 SRE=20273"
"58","0.173593","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=20273 Ack=1 Win=83 Len=1448 TSval=1026079697 TSecr=308456859"
"59","0.178719","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 53#1] 5001  >  38968 [ACK] Seq=1 Ack=15929 Win=259 Len=0 TSval=308456895 TSecr=1026079662 SLE=17377 SRE=21721"
"60","0.178726","10.0.0.2","10.0.0.1","TCP","2962","[TCP Fast Retransmission] 38970  >  5001 [PSH, ACK] Seq=31857 Ack=1 Win=83 Len=2896 TSval=1026079713 TSecr=308456872"
"61","0.184417","10.0.0.1","10.0.0.2","TCP","78","5001  >  38970 [ACK] Seq=1 Ack=37649 Win=74 Len=0 TSval=308456900 TSecr=1026079713 SLE=43441 SRE=46337"
"62","0.190034","10.0.0.2","10.0.0.1","TCP","2962","38968  >  5001 [PSH, ACK] Seq=21721 Ack=1 Win=83 Len=2896 TSval=1026079725 TSecr=308456888"
"63","0.199352","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 53#2] 5001  >  38968 [ACK] Seq=1 Ack=15929 Win=259 Len=0 TSval=308456911 TSecr=1026079662 SLE=17377 SRE=24617"
"64","0.199347","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38968  >  5001 [ACK] Seq=15929 Ack=1 Win=83 Len=1448 TSval=1026079730 TSecr=308456895"
"65","0.206389","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=24617 Win=252 Len=0 TSval=308456920 TSecr=1026079730"
"66","0.206396","10.0.0.2","10.0.0.1","TCP","2962","[TCP Retransmission] 38970  >  5001 [PSH, ACK] Seq=37649 Ack=1 Win=83 Len=2896 TSval=1026079736 TSecr=308456900"
"67","0.217082","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38970  >  5001 [ACK] Seq=40545 Ack=1 Win=83 Len=1448 TSval=1026079736 TSecr=308456900"
"68","0.222706","10.0.0.1","10.0.0.2","TCP","78","5001  >  38970 [ACK] Seq=1 Ack=41993 Win=100 Len=0 TSval=308456938 TSecr=1026079736 SLE=43441 SRE=46337"
"69","0.222722","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=24617 Ack=1 Win=83 Len=1448 TSval=1026079752 TSecr=308456911"
"70","0.231508","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=26065 Ack=1 Win=83 Len=1448 TSval=1026079763 TSecr=308456920"
"71","0.245061","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=27513 Win=260 Len=0 TSval=308456953 TSecr=1026079752"
"72","0.256734","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=46337 Ack=1 Win=83 Len=2896 TSval=1026079778 TSecr=308456938"
"73","0.263220","10.0.0.1","10.0.0.2","TCP","78","[TCP Window Update] 5001  >  38970 [ACK] Seq=1 Ack=41993 Win=111 Len=0 TSval=308456978 TSecr=1026079736 SLE=43441 SRE=49233"
"74","0.263214","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=49233 Ack=1 Win=83 Len=1448 TSval=1026079778 TSecr=308456938"
"75","0.268948","10.0.0.1","10.0.0.2","TCP","78","[TCP Window Update] 5001  >  38970 [ACK] Seq=1 Ack=41993 Win=117 Len=0 TSval=308456984 TSecr=1026079736 SLE=43441 SRE=50681"
"76","0.268959","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=27513 Ack=1 Win=83 Len=1448 TSval=1026079803 TSecr=308456953"
"77","0.268988","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=28961 Ack=1 Win=83 Len=1448 TSval=1026079803 TSecr=308456953"
"78","0.274775","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=30409 Win=263 Len=0 TSval=308456990 TSecr=1026079803"
"79","0.283953","10.0.0.2","10.0.0.1","TCP","1514","[TCP Retransmission] 38970  >  5001 [PSH, ACK] Seq=41993 Ack=1 Win=83 Len=1448 TSval=1026079815 TSecr=308456978"
"80","0.283988","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=50681 Ack=1 Win=83 Len=1448 TSval=1026079815 TSecr=308456978"
"81","0.293687","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=50681 Win=123 Len=0 TSval=308457005 TSecr=1026079815"
"82","0.293697","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=52129 Win=128 Len=0 TSval=308457005 TSecr=1026079815"
"83","0.293681","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=52129 Ack=1 Win=83 Len=1448 TSval=1026079821 TSecr=308456984"
"84","0.307439","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=53577 Win=134 Len=0 TSval=308457015 TSecr=1026079821"
"85","0.307453","10.0.0.2","10.0.0.1","TCP","1514","[TCP Previous segment not captured] 38968  >  5001 [ACK] Seq=31857 Ack=1 Win=83 Len=1448 TSval=1026079830 TSecr=308456990"
"86","0.307498","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=33305 Ack=1 Win=83 Len=1448 TSval=1026079830 TSecr=308456990"
"87","0.315366","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 78#1] 5001  >  38968 [ACK] Seq=1 Ack=30409 Win=263 Len=0 TSval=308457029 TSecr=1026079803 SLE=31857 SRE=33305"
"88","0.324080","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=53577 Ack=1 Win=83 Len=2896 TSval=1026079853 TSecr=308457005"
"89","0.335790","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=56473 Win=145 Len=0 TSval=308457045 TSecr=1026079853"
"90","0.335787","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=56473 Ack=1 Win=83 Len=2896 TSval=1026079853 TSecr=308457005"
"91","0.340657","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=59369 Ack=1 Win=83 Len=2896 TSval=1026079854 TSecr=308457005"
"92","0.341200","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=59369 Win=157 Len=0 TSval=308457057 TSecr=1026079853"
"93","0.341892","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=62265 Ack=1 Win=83 Len=1448 TSval=1026079861 TSecr=308457015"
"94","0.343225","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=34753 Ack=1 Win=83 Len=1448 TSval=1026079870 TSecr=308457029"
"95","0.345753","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=62265 Win=168 Len=0 TSval=308457062 TSecr=1026079854"
"96","0.346994","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=63713 Win=173 Len=0 TSval=308457063 TSecr=1026079861"
"97","0.348978","10.0.0.1","10.0.0.2","TCP","78","[TCP Dup ACK 78#2] 5001  >  38968 [ACK] Seq=1 Ack=30409 Win=263 Len=0 TSval=308457064 TSecr=1026079803 SLE=31857 SRE=36201"
"98","0.352009","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [PSH, ACK] Seq=63713 Ack=1 Win=83 Len=1448 TSval=1026079887 TSecr=308457045"
"99","0.357116","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=65161 Ack=1 Win=83 Len=2896 TSval=1026079892 TSecr=308457057"
"100","0.357297","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=65161 Win=179 Len=0 TSval=308457073 TSecr=1026079887"
"101","0.363522","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=68057 Win=190 Len=0 TSval=308457078 TSecr=1026079892"
"102","0.363515","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=68057 Ack=1 Win=83 Len=2896 TSval=1026079892 TSecr=308457057"
"103","0.364694","10.0.0.2","10.0.0.1","TCP","1514","[TCP Fast Retransmission] 38968  >  5001 [ACK] Seq=30409 Ack=1 Win=83 Len=1448 TSval=1026079892 TSecr=308457029"
"104","0.366431","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=70953 Ack=1 Win=83 Len=2896 TSval=1026079898 TSecr=308457063"
"105","0.370307","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=70953 Win=202 Len=0 TSval=308457084 TSecr=1026079892"
"106","0.370312","10.0.0.1","10.0.0.2","TCP","66","5001  >  38968 [ACK] Seq=1 Ack=36201 Win=255 Len=0 TSval=308457086 TSecr=1026079892"
"107","0.370304","10.0.0.2","10.0.0.1","TCP","1514","38970  >  5001 [ACK] Seq=73849 Ack=1 Win=83 Len=1448 TSval=1026079898 TSecr=308457063"
"108","0.370305","10.0.0.2","10.0.0.1","TCP","1514","38968  >  5001 [ACK] Seq=36201 Ack=1 Win=83 Len=1448 TSval=1026079903 TSecr=308457064"
"109","0.372478","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=73849 Win=213 Len=0 TSval=308457087 TSecr=1026079898"
"110","0.376199","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=75297 Win=219 Len=0 TSval=308457091 TSecr=1026079898"
"111","0.382290","10.0.0.2","10.0.0.1","TCP","2962","38970  >  5001 [PSH, ACK] Seq=75297 Ack=1 Win=83 Len=2896 TSval=1026079916 TSecr=308457078"
"112","0.390230","10.0.0.1","10.0.0.2","TCP","66","5001  >  38970 [ACK] Seq=1 Ack=78193 Win=230 Len=0 TSval=308457103 TSecr=1026079916"
